,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link,cyber,opinion
0,9301111,1990-01-01T00:00:00Z,1990-01-01T00:00:00Z,1,cs.CC,['cs.CC'],cs/pdf/9301/9301111v1.pdf,http://export.arxiv.org/pdf/cs/9301111v1.pdf,False,-0.0012468827930174563
1,9301113,1991-08-01T00:00:00Z,1991-08-01T00:00:00Z,1,cs.CC,['cs.CC'],cs/pdf/9301/9301113v1.pdf,http://export.arxiv.org/pdf/cs/9301113v1.pdf,False,-0.005291005291005291
2,9409219,1994-09-19T00:00:00Z,1994-09-19T00:00:00Z,1,math.CO,"['math.CO', 'cs.CC', '68Q22']",math/pdf/9409/9409219v1.pdf,http://export.arxiv.org/pdf/math/9409219v1.pdf,False,0.004477611940298508
3,9409220,1994-09-19T00:00:00Z,1994-09-19T00:00:00Z,1,math.CO,"['math.CO', 'cs.CC', '68Q22']",math/pdf/9409/9409220v1.pdf,http://export.arxiv.org/pdf/math/9409220v1.pdf,False,-0.03558967201674808
4,9409221,1994-09-19T00:00:00Z,1994-09-19T00:00:00Z,1,math.CO,"['math.CO', 'cs.CC', '68Q22']",math/pdf/9409/9409221v1.pdf,http://export.arxiv.org/pdf/math/9409221v1.pdf,False,0.0021008403361344537
5,9409223,1994-09-21T00:00:00Z,1994-09-21T00:00:00Z,1,math.CO,"['math.CO', 'cs.CC', '68Q25']",math/pdf/9409/9409223v1.pdf,http://export.arxiv.org/pdf/math/9409223v1.pdf,False,-0.021038344078724125
6,9409224,1994-09-21T00:00:00Z,1994-09-21T00:00:00Z,1,math.CO,"['math.CO', 'cs.CC', '68Q25']",math/pdf/9409/9409224v1.pdf,http://export.arxiv.org/pdf/math/9409224v1.pdf,False,-0.004707464694014795
7,9409225,1994-09-21T00:00:00Z,1994-09-21T00:00:00Z,1,math.CO,"['math.CO', 'cs.CC', '68Q25']",math/pdf/9409/9409225v1.pdf,http://export.arxiv.org/pdf/math/9409225v1.pdf,False,-0.01892120869810788
8,9409226,1994-09-21T00:00:00Z,1994-09-21T00:00:00Z,1,math.CO,"['math.CO', 'cs.CC', '68Q25']",math/pdf/9409/9409226v1.pdf,http://export.arxiv.org/pdf/math/9409226v1.pdf,False,-0.011530398322851153
9,9410208,1994-10-12T00:00:00Z,1994-10-12T00:00:00Z,1,math.CO,"['math.CO', 'cs.CC', 'math.MG', '52B']",math/pdf/9410/9410208v1.pdf,http://export.arxiv.org/pdf/math/9410208v1.pdf,False,-0.007913896802785692
10,9410209,1994-10-12T00:00:00Z,1994-10-12T00:00:00Z,1,math.CO,"['math.CO', 'cs.CC', '68Q']",math/pdf/9410/9410209v1.pdf,http://export.arxiv.org/pdf/math/9410209v1.pdf,False,-0.012429971988795517
11,9411219,1994-11-03T00:00:00Z,1994-11-03T00:00:00Z,1,math.CO,"['math.CO', 'cs.CC', '68Q94 68R05 94B25']",math/pdf/9411/9411219v1.pdf,http://export.arxiv.org/pdf/math/9411219v1.pdf,False,-0.012833168805528134
12,9411222,1994-11-18T00:00:00Z,1994-11-18T00:00:00Z,1,math.CO,"['math.CO', 'cs.CC', '68q25 05c85 94c15']",math/pdf/9411/9411222v1.pdf,http://export.arxiv.org/pdf/math/9411222v1.pdf,False,-0.011025358324145534
13,9504213,1995-04-13T00:00:00Z,1995-04-13T00:00:00Z,1,math.CO,"['math.CO', 'cs.CC', '68Q']",math/pdf/9504/9504213v1.pdf,http://export.arxiv.org/pdf/math/9504213v1.pdf,False,-0.004510921177587844
14,9508218,1995-08-08T00:00:00Z,1995-08-08T00:00:00Z,1,math.CO,"['math.CO', 'cs.CC', '68Q']",math/pdf/9508/9508218v1.pdf,http://export.arxiv.org/pdf/math/9508218v1.pdf,False,-0.0024291497975708503
15,9604007,1996-04-09T17:05:26Z,1999-06-21T14:02:52Z,5,quant-ph,"['quant-ph', 'cs.CC']",quant-ph/pdf/9604/9604007v5.pdf,http://export.arxiv.org/pdf/quant-ph/9604007v5.pdf,False,0.0034317089910775567
