,opinion
2,0.013979496738117428
8,0.005652911249293386
6,0.014423076923076924
0,-0.00411522633744856
5,0.018972332015810278
13,-0.0032533550223668157
17,-0.005291005291005291
19,0.0019093078758949881
20,0.02459016393442623
9,0.004280540006585446
23,-0.2
16,-0.0010775862068965517
10,0.006550218340611353
11,-0.003314550878355983
25,-0.0045045045045045045
21,-0.025938189845474614
14,0.0033875338753387536
7,0.004824874910650465
15,-0.0032751091703056767
12,0.013603973223925718
22,0.0010997067448680353
32,-0.01174934725848564
3,-0.013109756097560975
1,0.006866110838646395
28,-0.01966101694915254
33,-0.009341199606686333
18,0.008592295574967778
30,0.008867276887871853
39,0.011468738438771735
35,-0.011295681063122924
43,0.00032216494845360824
27,0.015588792921845377
37,-0.01867816091954023
4,-0.017196313110469114
44,-0.03593996840442338
36,-0.000550357732526142
31,0.012520193861066236
41,0.003418272218769422
50,-0.03417721518987342
24,0.003924221921515561
52,0.004024144869215292
48,-0.019823788546255508
34,-0.03478429848425962
51,-0.035175879396984924
55,0.002150537634408602
47,-0.024750773461670678
60,0.013079667063020214
58,-0.0019857029388403494
56,0.0
62,0.014953271028037384
59,-0.007011393514460999
42,0.006290322580645161
45,-0.004599524187153053
64,-0.018292682926829267
66,0.013647642679900745
54,-0.0015864621893178213
69,-0.01098901098901099
49,-0.00936768149882904
70,0.0
65,-0.014488188976377953
76,0.01206896551724138
63,0.01099246231155779
67,0.0012406947890818859
71,-0.003234152652005175
74,0.001984126984126984
68,-0.02463768115942029
80,-0.00808080808080808
78,0.0
57,0.00520071509832602
73,-0.010361384887541066
81,-0.047619047619047616
53,-0.00236318407960199
75,-0.06376195536663125
77,0.006424581005586592
83,0.009019165727170236
82,-0.0056461731493099125
40,-0.010807825812559168
79,-0.014687665899840736
87,-0.002972651605231867
88,-0.004678362573099415
84,0.002289077828646174
85,-0.0006506180871828237
92,-0.019638648860958365
86,-0.00834431269213878
93,-0.023682938617689706
89,-0.002109704641350211
95,0.0009195402298850574
90,0.005759539236861051
96,0.021333333333333333
91,0.00032583903551645487
72,0.008057553956834532
97,0.015792154865002548
26,-0.00846956864289935
104,0.0030737704918032786
102,-0.0065170166545981175
46,-0.022508038585209004
101,0.025442477876106196
105,0.016135379771743407
94,0.0037840565085771947
108,-0.02857142857142857
109,-0.05064063453325198
100,0.017683970336565887
107,-0.004760393525864805
110,-0.00918105031215571
99,0.012509773260359656
117,-0.022191400832177532
106,0.029948867786705625
120,0.030612244897959183
114,-0.008635578583765112
111,-0.007518796992481203
113,-0.020205479452054795
116,-0.03233364573570759
115,-0.0011242270938729624
98,0.0007107320540156361
118,0.015644555694618274
112,-0.013029315960912053
125,-0.00796812749003984
130,-0.012367491166077738
122,-0.002276867030965392
119,0.004012345679012346
131,-0.06588235294117648
127,-0.05558613098514034
136,0.01098901098901099
133,0.010737294201861132
123,0.01062618595825427
135,0.011603375527426161
132,-0.03460011344299489
129,-0.008514664143803218
124,0.0031656700668308124
121,-0.012923728813559321
139,-0.007123775601068566
137,0.011661807580174927
140,0.0150093808630394
141,0.00727994705493051
143,-0.021043000914913082
138,0.00037383177570093456
148,-0.008541392904073587
144,0.0027079303675048355
147,-0.00565843621399177
134,-0.02320185614849188
142,-0.005960093288416689
145,-0.01680911680911681
152,-0.008029197080291971
128,0.01713551335142082
154,-0.1073729420186113
157,-0.005668934240362812
149,0.010607321131447587
153,-0.012326169405815424
159,0.009216589861751152
103,0.016621743036837375
155,-0.0025031289111389237
156,-0.04564423578508085
126,0.001612345963376713
162,0.015507310589277802
160,0.008923884514435695
161,-0.0024838549428713363
165,-0.00398406374501992
158,-0.04564315352697095
169,0.0006591957811470006
164,0.013019218846869188
170,-0.03429724277067922
176,-0.012295081967213115
174,0.00946372239747634
172,-0.0038419319429198683
177,0.005284015852047556
171,-0.006595636732623034
151,-0.03377265238879736
173,0.0007084661707403471
183,-0.005871990604815032
163,-0.019140791152700978
178,-0.006247559547051933
179,0.016988062442607896
175,-0.018931710615280595
167,-0.0025983024424042957
184,0.00897592819257446
180,-0.03184920376990575
186,-0.0005252100840336134
182,0.0029123643102991793
166,0.014836363636363637
188,0.005807200929152149
192,-0.032873806998939555
190,0.012473118279569893
189,0.03185011709601874
197,-0.02973568281938326
185,-0.013029315960912053
198,-0.0018264840182648401
196,0.0015511892450879006
191,0.007973903588256614
181,-0.011683585520015322
187,-0.0009576250897773521
205,-0.010948905109489052
199,0.02343159486016629
195,-0.013230695212893913
202,-0.05276225946617008
168,0.011644535240040858
204,-0.024922118380062305
207,-0.0004985044865403788
203,-0.018795888399412628
210,-0.005622489959839358
200,0.002081165452653486
193,0.000721240533717995
211,-0.0004623208506703652
208,-0.004477611940298508
212,-0.027972027972027972
209,0.029654036243822075
201,-0.0684534588917059
206,0.0026961445133459154
214,0.004940014114326041
217,-0.008908685968819599
222,-0.0231023102310231
213,-0.010587102983638113
219,-0.000946521533364884
146,0.009094877764842841
215,-0.008333333333333333
223,-0.000949667616334283
227,-0.0035067212156633548
221,-0.0012953367875647669
150,-0.012851582580597782
229,-0.013924050632911392
226,0.012632297712529874
228,0.009656652360515022
234,0.0
224,0.009966024915062289
231,-0.008682328907048007
232,0.0028776978417266188
236,-0.008538899430740038
220,-0.006592292089249493
225,-0.0076297049847405905
235,-0.005646817248459959
216,0.0048866301798279905
241,-0.026525198938992044
230,-0.023622047244094488
245,-0.0024449877750611247
237,-0.0021727322107550242
233,-0.023870417732310314
238,-0.003976143141153081
194,0.0004425170369059209
240,0.004434589800443459
246,0.026630644538788113
247,-0.014613778705636743
243,-0.04496225795864785
218,-0.023005877413937868
252,0.015593220338983051
242,-0.012903225806451613
254,0.0
257,-0.0225140712945591
255,-0.033106134371957155
239,0.0034928396786587496
256,0.005836575875486381
258,-0.015401540154015401
251,-0.017034068136272545
261,-0.00644122383252818
253,-0.013225991949396205
248,-0.015119549929676512
250,0.013367609254498715
244,0.0030437188710570003
267,-0.009708737864077669
249,-0.005442999697611128
264,-0.003924646781789639
262,0.005817335660267597
270,-0.014476614699331848
61,0.010865713948269753
260,-0.016604400166044003
263,0.0026695141484249867
265,0.0009149130832570906
273,0.013713080168776372
274,0.003427592116538132
266,-0.0010045203415369162
269,0.01231945624468989
259,0.0027991602519244225
275,-0.03376822716807368
271,0.015954415954415956
281,-0.042105263157894736
278,0.006644518272425249
277,0.011578947368421053
279,0.0016611295681063123
268,-0.022748232400860744
272,0.006377551020408163
285,0.01903553299492386
286,0.001991040318566451
288,-0.009513742071881607
283,-0.0061864781263809105
294,0.006741573033707865
276,-0.035964912280701755
290,-0.0003526093088857546
299,0.0
289,0.014152850788515973
293,0.008048289738430584
296,-0.013179571663920923
284,-0.014037985136251032
298,-0.01990049751243781
280,-0.00827991452991453
301,-0.032066508313539195
302,-0.016293279022403257
287,-0.023384460648730197
300,-0.032462949894142556
292,-0.003869047619047619
295,-0.004794246903715541
303,-0.051560379918588875
307,-0.014084507042253521
282,-0.0006049606775559589
291,-0.022626441881100266
305,-0.017914267434420986
304,-0.0346093340325118
310,-0.037815126050420166
315,0.0078125
311,0.015330188679245283
309,-0.01938386985115957
314,-0.002871912693854107
323,0.0031982942430703624
319,-0.028291621327529923
317,-0.00880503144654088
325,0.0
320,-0.0015641293013555788
326,0.02159468438538206
318,-0.012392755004766444
312,0.0007380073800738007
306,-0.04527481217872677
328,0.01839080459770115
324,0.005305039787798408
331,-0.004338394793926247
334,0.02005730659025788
321,-0.005285412262156448
330,0.004979253112033195
327,0.027557216254086876
322,-0.01885498800137127
333,0.020785219399538105
335,0.01201923076923077
338,0.019975031210986267
336,0.0032258064516129032
337,-0.021372328458942633
313,0.0016363933889707086
345,0.0
339,-0.013562386980108499
340,-0.004296875
344,-0.014753046824887749
316,0.0030969845150774244
329,0.025376884422110554
348,-0.002317497103128621
342,-0.02693804250224484
347,0.015287295730100159
352,0.005061460592913955
341,-0.023355576739752144
297,-0.017890772128060263
354,-0.02158273381294964
343,0.016910935738444193
351,0.0
332,-0.005290005667863216
349,-0.00503989920201596
356,0.0044585987261146496
359,-0.004991680532445923
355,-0.00421179302045728
363,0.0022396416573348264
353,-0.0010804970286331713
308,-0.006651017214397496
362,-0.0022522522522522522
