,opinion
12,-0.005138086062941554
3,-0.016403046280023433
14,-0.00726792203501817
16,-0.009990173599737962
8,-0.007342896174863388
2,-0.027119536598209586
10,-0.017595307917888565
9,0.009237875288683603
7,-0.01217505758473182
0,-0.014728549409145402
15,-0.011774744027303755
4,0.010571184995737426
23,-0.0042417815482502655
6,-0.005752135262332229
17,-0.0047565118912797286
5,-0.007216357076039022
1,-0.008462250429723655
11,0.004635682871746107
20,-0.014614773629864972
22,-0.016909814323607428
28,-0.0032658393207054214
26,-0.006447346668870888
27,-0.008068130883012102
13,-0.006566164154103852
34,-0.002008704385671242
25,-0.010720730283409405
37,-0.006551240056153486
19,-0.0033708947317730906
32,-0.02135386403253922
31,-0.010213087882990796
24,-0.031085459700283515
36,-0.003331482509716824
30,-0.01005260081823495
21,-0.018297731412485512
29,-0.007962906965023686
18,-0.011693492915118998
45,-0.0032377428307123032
42,-0.00505902192242833
47,-0.01332662811164194
46,-0.023656320968962908
41,-0.002339572192513369
49,-0.0010328800137717334
48,0.023028209556706966
51,-0.0059271803556308214
44,-0.01775568181818182
40,0.0009141961603761264
52,-0.005908835115362971
43,-0.014780902550686724
53,-0.014035087719298246
35,-0.023696682464454975
50,-0.03434016540812657
55,-0.0038131553860819827
54,-0.025297394970636954
57,-0.007046170962358613
38,-0.0203849435858538
63,-0.0052318239220638645
64,-0.02105108199617253
66,-0.00593094683329803
70,-0.002699055330634278
58,0.0012159902720778233
65,0.0
71,-0.010755579456843238
59,-0.014542042922481528
74,0.0007280669821623589
62,-0.026655095462434913
73,0.009504132231404958
61,-0.033142512805061766
56,-0.0037220843672456576
78,-0.016959798994974875
72,-0.0016897600540723217
39,-0.01115485564304462
75,-0.001984126984126984
83,-0.005012531328320802
85,-0.006056527590847914
77,0.00032690421706440013
33,-0.01865654150846107
67,-0.019147344801795065
60,-0.027926027057217327
84,-0.0587630632174062
80,-0.005641103826802866
86,-0.005546635527660195
88,0.005305709954522486
81,-0.003825631732608477
92,-0.01578225068618481
68,0.0012839717526214422
95,-0.016161168917423068
79,-0.007648540248111184
96,0.0005912495072920772
82,-0.03157568878340729
94,-0.008555133079847909
87,-0.011543202958646196
104,-0.004484304932735426
98,-0.0035131225459805746
91,-0.004335628666156593
90,-0.02796399157249569
93,-0.029717514124293784
89,-0.006722503857174344
99,-0.016544655929721815
97,-0.005810882197569995
105,0.012693671831248834
106,0.010549290651145871
114,-0.005134788189987163
109,-0.024635209399279896
110,-0.0070031393383240765
101,0.0006836048763814515
107,0.008839417253232935
118,-0.017937219730941704
111,0.0350109409190372
116,-0.043463944682252224
115,-0.030106921778277996
76,0.0
120,-0.007368877329865626
112,0.0029678225554514216
117,-0.0035612535612535613
102,-0.017764388115520464
103,-0.014377639251960587
127,-0.00241196333815726
125,0.020202020202020204
100,-0.004644268774703557
108,0.0013020833333333333
126,0.016364283173247954
69,-0.005865247178273941
131,0.002631578947368421
121,-0.010937816487745595
119,-0.012512218963831867
132,-0.004390243902439025
128,-0.00384
130,-0.0004314063848144953
123,-0.024638127502309825
124,-0.009935506362210215
137,0.0028641571194762683
136,-0.01293800539083558
134,0.0018856065367693275
146,-0.007361963190184049
143,-0.014650283553875236
133,0.007925662749385078
140,0.0017761989342806395
144,-0.012300683371298405
142,0.006868918145392101
129,-0.005392339159538862
141,0.0006697923643670462
147,0.0021231422505307855
156,0.008688097306689836
151,-0.0022764227642276423
157,-0.023454157782515993
145,0.004509850462853074
158,0.008133755083596927
150,-0.0009789525208027412
154,0.010159253157605712
164,0.0006269592476489029
135,-0.000948252506095909
148,0.015369602342034643
162,-0.014084507042253521
169,0.010139416983523447
165,0.0049586776859504135
160,-0.027277039848197345
161,0.0014832393948383269
163,0.006732495511669659
172,0.010227272727272727
171,0.009798865394533264
153,0.00340522133938706
170,0.005148514851485149
155,-0.004921259842519685
174,0.017444065225635193
175,0.00906183368869936
173,-0.01058601134215501
178,0.008357915437561455
176,-0.010559662090813094
166,0.0052231718898385565
177,-0.0038744672607516468
183,0.03165584415584415
159,-0.006310879407326108
179,-0.004502476361999099
152,0.004375303840544483
185,-0.02163588390501319
181,-0.02544426494345719
182,-0.0027945971122496508
189,-0.001344688480502017
180,0.0025559105431309905
188,-0.004986149584487534
190,0.0004861448711716091
187,0.04131799163179916
184,0.007961232260297681
186,-0.002217997465145754
197,-0.005964214711729622
196,-0.003875968992248062
202,-0.006053268765133172
193,0.01195219123505976
195,-0.01290609701824655
192,0.005034053893988748
200,0.0026490066225165563
198,0.00662020905923345
191,0.004293073840870063
194,0.013003095975232198
201,0.013365155131264916
212,0.0022624434389140274
206,0.052752293577981654
209,-0.003790271636133923
211,0.005681818181818182
203,-0.0014316392269148174
213,0.006792058516196447
207,-0.0036144578313253013
199,0.0027925160569673277
214,-0.011420740063956145
208,0.003031221582297666
222,0.004029550033579583
210,0.0026041666666666665
205,0.009520884520884522
204,0.003068829460762823
218,-0.014187271990271585
219,-0.001336898395721925
228,-0.005050505050505051
224,-0.0289193302891933
235,0.0
225,0.002291825821237586
139,-0.005678509027373326
231,-0.012925463162429988
229,0.009782001117942985
226,-0.015766423357664233
223,0.0023219814241486067
233,0.008039816232771823
232,-0.005866114561766736
221,-0.018316526034163408
242,-0.0036570499796830555
217,-0.005201560468140442
220,0.01744765702891326
237,-0.010705289672544081
240,-0.002190580503833516
243,0.005434782608695652
215,-0.01872051886792453
234,-0.015765765765765764
230,-0.01782562654429933
236,-0.0034602076124567475
244,-0.020320197044334975
241,0.007837713231904103
251,0.002785515320334262
227,-0.008020110126885324
248,0.009863429438543247
249,0.01347488770926909
239,-0.009030704394942806
245,-0.006739409499358151
253,0.007751937984496124
247,-0.014698298091799896
250,-0.008722741433021807
255,0.016135228582404917
260,0.010832383124287344
246,-0.013808139534883721
259,-0.024080267558528427
262,-0.012976480129764802
252,-0.005348837209302326
256,0.007248252653378203
254,-0.0007163323782234957
266,-0.0017152658662092624
258,0.007219083490269931
261,0.0013574660633484162
263,0.004536082474226804
257,0.014430379746835443
270,-0.004878048780487805
264,0.007971938775510204
238,-0.002429805615550756
267,0.012738853503184714
268,0.0026595744680851063
265,0.008843537414965987
276,-0.009783368273934312
277,-0.0019023462270133164
269,-0.009166998804304504
272,0.01829652996845426
273,0.025791855203619908
274,0.004975124378109453
281,-0.02027027027027027
282,-0.003332323538321721
286,-0.00927766732935719
284,-0.018528610354223433
280,0.0019689884321929607
287,-0.016194331983805668
283,0.013854527461652647
292,-0.02902946273830156
290,-0.02857142857142857
295,-0.0043782837127845885
296,0.007329842931937173
297,-0.02369980250164582
293,-0.010319410319410319
294,0.0070596540769502295
291,0.00582698341550874
301,-0.00408997955010225
299,-0.0015698587127158557
300,-0.007630522088353414
285,-0.01857304643261608
302,0.04574742268041237
278,-0.0013385089010841923
271,-0.010280932456664674
288,0.006275140788415125
298,-0.00718849840255591
305,0.004986702127659575
303,0.003996311097448509
313,0.00941346850108617
312,-0.025016903313049357
275,-0.004324204457256902
304,0.0012686330478908975
307,0.001364877161055505
306,0.006963249516441006
317,-0.006369426751592357
308,0.015772870662460567
309,0.005571847507331379
279,0.005875042368094001
315,-0.0023048112935753384
323,-0.014580801944106925
316,0.002789400278940028
314,-0.0038852361028093247
330,0.0
327,-0.02541914548404543
322,-0.01415511648481274
329,0.0008481764206955047
328,-0.010089251067132324
325,-0.007955449482895784
332,-0.05867014341590613
320,0.011320126519061096
321,-0.029772727272727274
337,0.0064080944350758855
339,0.01056338028169014
310,-0.002913878696309087
318,0.00466345406497746
326,-0.00594906116378509
331,-0.008020532563362208
340,-0.0041876046901172526
338,0.007958921694480103
342,0.005480817140009965
345,-0.0006325110689437065
334,-0.003972194637537239
348,-0.002002002002002002
333,0.0014406256431364478
347,0.00047505938242280285
350,-0.012711864406779662
349,0.021779713752333542
346,0.017391304347826087
344,0.0026041666666666665
354,-0.024764735017335313
356,0.016697588126159554
357,0.01088534107402032
351,0.025390625
352,0.027677240791994892
336,0.009459619250325174
343,-0.018050541516245487
361,0.031234506693108576
341,0.009805026484841654
358,-0.005521472392638037
366,0.0
359,0.004723169771713461
363,-0.006455083378160301
353,0.0012123048946810122
372,0.014989293361884369
368,0.010921799912625601
355,0.00266844563042028
371,0.008091706001348618
369,0.02824858757062147
375,0.020364870598218072
367,0.009953161592505855
335,-0.019035298466087598
376,0.01537744641192917
378,0.019563581640331076
364,0.00867835834387995
365,0.01885891620911912
380,-0.0017436791630340018
319,0.0014189886480908153
374,0.007852077001013171
362,0.012414304243098017
384,-0.026737967914438502
385,0.00825082508250825
379,-0.0036886757654002213
377,0.014471352628470172
388,-0.016403402187120292
373,-0.016587677725118485
382,0.012182387747998607
324,0.004923309979170612
