,opinion
15,0.0
14,-0.021108179419525065
13,0.0022560631697687537
17,-0.03341523341523341
11,-0.010888252148997135
9,-0.0005586592178770949
10,0.002459016393442623
12,-0.025688073394495414
8,-0.02281021897810219
3,0.02666666666666667
6,0.014314115308151094
18,-0.0028595939376608523
2,0.01639344262295082
1,0.0
0,0.007859733978234583
4,0.002287166454891995
22,0.002772002772002772
19,-0.005377720870678617
28,0.007828810020876827
21,-0.022420498741706704
26,0.003998223011994669
25,-0.006958250497017893
7,0.005050505050505051
27,-0.0032664489034064394
29,0.0048828125
16,0.002631578947368421
30,0.0021193924408336277
24,-0.008092202059833251
38,0.010802469135802469
32,-0.01644736842105263
33,-0.0197869101978691
31,-0.020610057708161583
20,-0.03338315894369706
23,-0.00251207729468599
37,-0.00927766732935719
35,0.006430868167202572
42,-0.0015698587127158557
44,0.004728132387706856
45,0.004797806716929404
40,0.010699001426533523
46,-0.015584415584415584
34,-0.003332323538321721
43,-0.006565449322938038
47,-0.03652263374485597
41,0.002191380569758948
59,0.0
49,-0.008397932816537468
51,0.0021213406873143827
48,0.004723169771713461
57,-0.0014903129657228018
52,0.00602167804094741
54,-0.0020729684908789387
58,-0.013924703455389376
36,-0.006414235464514794
56,-0.016403402187120292
60,-0.0059031877213695395
61,0.018798955613577025
50,-0.023316062176165803
64,-0.004291845493562232
69,-0.0056694286960314
53,-0.016587677725118485
62,-0.02539376406300225
72,-0.0076824583866837385
39,0.006275140788415125
63,-0.008896369319547967
70,-0.003624282694050136
71,-0.0006997900629811056
73,0.0016148566814695195
83,-0.020050125313283207
75,-0.003351206434316354
76,0.002891844997108155
67,0.0024101665205959683
82,-0.00927643784786642
80,-0.022963367960634227
65,0.00584385226741468
68,-0.040376106194690266
79,-0.014382402707275803
86,0.0020646937370956643
81,-0.003218020917135961
88,-0.03454038997214485
85,-0.009307737056428156
92,0.3333333333333333
78,-0.009269356597600873
74,-0.05411499436302142
90,-0.040166927490871154
87,-0.03395348837209302
95,-0.03815113719735877
89,-0.021816562778272486
91,-0.012306046013911182
77,0.0034830430797433546
94,-0.0036915504511894994
96,-0.02536997885835095
98,-0.06572379367720466
84,-0.023515344758868077
99,0.0020847810979847115
93,-0.03594438792811122
100,-0.0175
101,-0.007675438596491228
105,-0.0024
103,0.012770682953914493
112,0.012102874432677761
97,-0.02086858432036097
108,0.013002364066193853
107,-0.0003444712366517396
116,0.01871809415768576
109,0.00631578947368421
115,0.008243500317057704
119,-0.0035294117647058825
110,-0.012825495530509134
111,-0.0026239067055393588
113,-0.0017667844522968198
118,0.007114273010226767
117,0.0
121,-0.01773215118992067
125,-0.013868251609707775
123,0.0018083182640144665
124,0.01802990325417766
120,-0.013018714401952807
122,-0.010768126346015794
128,0.003341687552213868
106,0.008016032064128256
134,0.0029455081001472753
130,-0.01904090267983075
102,-0.004489337822671156
132,0.011217948717948718
127,0.0027881040892193307
131,0.011003521126760563
114,0.013842482100238664
136,0.0031201248049922
138,-0.011464968152866241
129,0.002451731535396874
139,-0.010254596888260255
141,-0.02586549940310386
137,-0.01220865704772475
104,0.002437325905292479
133,0.005188067444876783
144,0.0014781966001478197
143,-0.016956521739130436
126,-0.0018110894399554194
135,0.001965689778413152
140,-0.018982118294360386
147,-0.0011173184357541898
146,-0.015321756894790603
145,-0.0011344299489506524
148,-0.002031144211238998
149,-0.0021536252692031586
154,0.007142857142857143
142,0.006306306306306306
157,-0.012992455993294216
160,-0.013059701492537313
161,-0.02973568281938326
156,-0.005752212389380531
162,-0.003937007874015748
163,0.004
153,0.00044583147570218456
159,-0.0033492822966507177
155,-0.006753904601097509
158,-0.007202216066481994
167,-0.022598870056497175
164,-0.014817950889077053
152,-0.0007377351530800443
150,0.009375
173,-0.05023547880690738
170,-0.017321504013519222
172,-0.027566919696364364
180,0.004640371229698376
169,-0.029575757575757575
171,-0.011072664359861591
151,-0.001175951785976775
165,-0.06166666666666667
179,-0.030346820809248554
175,-0.038723026899201894
174,0.0002880184331797235
183,-0.008046817849305048
168,-0.007134363852556481
184,-0.0007535795026375283
176,-0.0014455044810638912
187,-0.0060790273556231
166,0.006164247365281368
188,-0.0012515644555694619
185,-0.004536616979909268
186,-0.0019317450096587251
182,0.008130081300813009
181,-0.013024986709197236
192,-0.018245614035087718
196,0.0040650406504065045
189,0.004739336492890996
191,-0.0005252100840336134
203,0.02707581227436823
193,0.005399568034557235
177,0.0099784777929955
202,0.017718715393133997
195,-0.010692464358452138
190,0.002788622420524261
198,0.006837606837606838
197,-0.006064281382656155
201,0.00440852314474651
204,0.005970149253731343
210,0.0
199,-0.00036036036036036037
194,0.007906215921483098
205,0.009192383453709783
178,0.001764234161988773
206,0.0016611295681063123
207,0.007597895967270602
208,0.002386634844868735
215,-0.004398826979472141
211,0.00337609723160027
216,0.0018856065367693275
214,0.005629838142153413
200,-0.0027403035413153458
212,-0.01587861679604799
219,0.0064885496183206106
223,-0.0074887668497254116
222,-0.003961965134706815
221,-0.011012433392539964
224,0.0026189436927106066
209,-0.005233318796336677
213,0.002279851809632374
228,0.0008853474988933156
234,-0.005612722170252572
226,0.008650986753176534
220,0.0
236,-0.002628120893561104
231,-0.01125127855438118
237,-0.014814814814814815
232,-0.0010634526763559022
230,0.0027347310847766638
233,0.0028694404591104736
235,-0.006386861313868613
218,-0.0009012256669069935
227,0.019220208676551345
238,-0.0005509641873278236
239,0.00035842293906810036
247,-0.002831524303916942
250,0.002006688963210702
245,-0.005455537370430988
244,-0.025051475634866163
242,0.010499637943519189
248,-0.013945119208277103
252,-0.015300546448087432
243,-0.021899970405445397
217,0.00021090372245070126
225,0.00642570281124498
251,-0.0023969319271332696
55,0.010865713948269753
254,-0.003915426781519186
256,-0.06930157011369789
241,-0.007354443309499489
263,0.007363770250368188
249,0.0014317856412354264
255,0.006024096385542169
257,0.00986277873070326
260,0.00855188141391106
261,0.014310246136233544
267,0.01293759512937595
259,0.006279434850863423
264,0.040628200751109594
266,0.0011160714285714285
273,0.0110803324099723
258,-0.027914614121510674
246,-0.010096510764662212
272,-0.0018231540565177757
270,0.02142857142857143
268,-0.007194244604316547
240,0.01038329835413675
281,0.0029411764705882353
279,-0.013117283950617283
277,-0.031486146095717885
265,-0.010554089709762533
274,-0.009996001599360257
276,-0.00299625468164794
262,0.004263093788063338
269,-0.002160675702219603
271,-0.0010080645161290322
284,0.0013183915622940012
286,-0.008403361344537815
275,-0.003188619082658818
280,0.005780346820809248
278,-0.011871508379888268
283,-0.008695652173913044
290,-0.02544529262086514
287,-0.0035164835164835165
282,-0.017229953611663355
293,-0.016163793103448277
289,-0.02754677754677755
291,0.00792303338992643
292,-0.027477477477477478
296,-0.001049317943336831
288,0.0012281240405280934
304,-0.01070559610705596
295,0.006578947368421052
302,-0.03171334431630972
308,-0.023145961265942372
305,-0.004508196721311476
301,-0.015494137353433836
303,-0.009958071278825996
297,-0.0017313019390581717
306,-0.03479576399394856
310,-0.007154213036565978
307,-0.001095890410958904
309,-0.03460207612456748
300,-0.029644268774703556
299,0.005807200929152149
294,-0.004739336492890996
298,-0.006493506493506494
321,0.0
311,-0.05632685442284808
313,0.01284796573875803
312,0.011671529804085035
314,0.0024937655860349127
317,-0.02990732940185341
324,-0.03715415019762846
319,-0.011139240506329114
